Detector Part,Silicon Absorption Probability,Mount Absorption Probability,Average eta Phonon,Standard Deviation
Capacitor,0.005,0.2,0.318935,0.478698
Feedline,0.005,0.2,1.12747,1.059
Mount,0.005,0.2,3.18693,1.12793
Inductor,0.007,0.2,1.0587,0.941142
Silicon,0.007,0.2,55.7345,1.413
Capacitor,0.007,0.2,0.236494,0.345059
Feedline,0.007,0.2,0.890543,0.714665
Mount,0.007,0.2,2.07466,0.858567
Inductor,0.009,0.2,0.937278,0.859006
Silicon,0.009,0.2,56.3891,1.61468
Capacitor,0.009,0.2,0.350988,0.492568
Feedline,0.009,0.2,1.00631,1.0397
Mount,0.009,0.2,1.31578,0.676524
Inductor,0.011,0.2,0.977375,1.07534
Silicon,0.011,0.2,56.6535,1.47112
Capacitor,0.011,0.2,0.243522,0.484528
Feedline,0.011,0.2,0.963591,0.971693
Mount,0.011,0.2,1.16049,0.807383
Inductor,0.001,0.22,1.30262,0.95808
Silicon,0.001,0.22,38.3424,2.44203
Capacitor,0.001,0.22,0.286008,0.408614
Feedline,0.001,0.22,2.07674,1.06845
Mount,0.001,0.22,17.9793,2.4402
Inductor,0.003,0.22,1.0827,0.936376
Silicon,0.003,0.22,51.0919,2.07075
Capacitor,0.003,0.22,0.299307,0.419815
Feedline,0.003,0.22,1.28473,0.997064
Mount,0.003,0.22,6.23406,1.59864
Inductor,0.005,0.22,0.828821,0.905228
Silicon,0.005,0.22,54.4217,1.6347
Capacitor,0.005,0.22,0.277799,0.439575
Feedline,0.005,0.22,0.838013,0.687185
Mount,0.005,0.22,3.62867,1.06031
Inductor,0.007,0.22,0.825481,0.90593
Silicon,0.007,0.22,55.7258,1.54812
Capacitor,0.007,0.22,0.285776,0.456354
Feedline,0.007,0.22,1.00497,0.785857
Mount,0.007,0.22,2.1553,1.0135
Inductor,0.009,0.22,1.08698,0.931687
Silicon,0.009,0.22,55.8912,1.70162
Capacitor,0.009,0.22,0.299711,0.451092
Feedline,0.009,0.22,1.13504,1.08046
Mount,0.009,0.22,1.58424,0.739686
Inductor,0.011,0.22,0.811559,0.871025
